###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59649.499028  21.649  1.854     8   15 o  0   1.18 190.74695  48.37041 10076.39   160.28 2.89 2.58 -57.4 -0.523 19.45 21.05 01a59649o0543o
59649.504058  21.408  1.651    10   16 o  0   0.75 190.74695  48.37041   772.34   484.52 2.97 2.80 -54.0 -0.580 19.50 21.14 01a59649o0554o
59649.507273  22.017  2.448     6   14 o  0   0.91 190.74695  48.37041   794.70   525.06 2.75 2.62 -63.4 -0.584 19.49 21.19 01a59649o0561o
59649.509565 -20.333  0.427   -27   11 o  0   1.56 190.74695  48.37041 10061.53   280.45 2.83 2.53 -56.0 -0.514 19.49 21.19 01a59649o0566o
59649.513229  21.591  1.333     8   11 o  0   1.31 190.74695  48.37041   735.21   444.92 2.64 2.57 -60.2 -0.586 19.52 21.26 01a59649o0574o
59649.523808  21.941  2.097     6   13 o  0   0.95 190.74695  48.37041   724.06   563.63 2.76 2.64 -56.8 -0.580 19.52 21.30 01a59649o0597o
59651.447896 -21.261  1.406   -11   16 o  0   1.31 190.74695  48.37041   376.74 10344.27 2.84 2.37 -48.2 -0.578 19.12 20.17 01a59651o0489o
59651.451118  20.782  1.101    18   20 o  0   1.06 190.74695  48.37041   357.61 10306.01 2.84 2.37 -45.1 -0.568 19.12 20.18 01a59651o0496o
59651.453861 -20.170  0.728   -31   23 o  0   0.63 190.74695  48.37041   414.87 10380.53 2.87 2.41 -44.3 -0.568 19.09 20.18 01a59651o0502o
59651.459392  21.410  2.222    10   22 o  0   0.65 190.74695  48.37041   433.16 10261.20 2.89 2.43 -46.9 -0.556 19.12 20.19 01a59651o0514o
59651.460304 -22.300  4.545    -4   20 o  0   0.81 190.74695  48.37041  9713.39 10139.25 3.02 2.94  72.2 -0.411 19.10 20.21 01a59651o0516o
59651.482072 -21.879  2.687    -6   17 o  0   1.00 190.74695  48.37041  9693.17 10094.44 3.04 2.92 -87.9 -0.414 19.15 20.26 01a59651o0561o
59651.484812  20.843  1.235    17   21 o  0   0.80 190.74695  48.37041  9752.02 10174.46 3.12 2.98  80.9 -0.405 19.08 20.27 01a59651o0567o
